point_id,ts,anchor_ids,ranges,ref
A13B6,1729686579419,"[1, 2, 3, 4, 5]","[54.81, nan, 44.64, 29.85, 37.98]","(4.189, 32.995999999999995, 3.348)"
A13B6,1729686579835,"[1, 2, 3, 4, 5]","[48.73, nan, 44.49, nan, 37.9]","(4.189, 32.995999999999995, 3.348)"
A13B6,1729686580331,"[1, 2, 3, 4, 5]","[46.03, nan, 44.42, 27.0, 37.9]","(4.189, 32.995999999999995, 3.348)"
A13B6,1729686580827,"[1, 2, 3, 4, 5]","[46.03, nan, 44.56, 27.0, 37.83]","(4.189, 32.995999999999995, 3.348)"
A13B6,1729686581323,"[1, 2, 3, 4, 5]","[46.03, nan, 44.49, 27.0, 37.83]","(4.189, 32.995999999999995, 3.348)"
A13B6,1729686581820,"[1, 2, 3, 4, 5]","[45.95, nan, 44.49, 27.0, 37.83]","(4.189, 32.995999999999995, 3.348)"
A13B6,1729686582315,"[1, 2, 3, 4, 5]","[46.03, nan, 44.49, 27.0, 37.9]","(4.189, 32.995999999999995, 3.348)"
A13B6,1729686582812,"[1, 2, 3, 4, 5]","[46.03, nan, 44.49, 26.93, 37.83]","(4.189, 32.995999999999995, 3.348)"
A13B6,1729686583308,"[1, 2, 3, 4, 5]","[48.73, nan, 44.42, 27.0, 37.76]","(4.189, 32.995999999999995, 3.348)"
A13B6,1729686583675,"[1, 2, 3, 4, 5]","[57.44, nan, nan, nan, nan]","(4.189, 32.995999999999995, 3.348)"
A13B6,1729686584171,"[1, 2, 3, 4, 5]","[48.73, nan, 44.49, 27.0, 37.83]","(4.189, 32.995999999999995, 3.348)"
A13B6,1729686584668,"[1, 2, 3, 4, 5]","[48.73, nan, 44.42, 27.0, 37.83]","(4.189, 32.995999999999995, 3.348)"
A13B6,1729686585083,"[1, 2, 3, 4, 5]","[57.44, nan, 44.49, nan, 37.83]","(4.189, 32.995999999999995, 3.348)"
A13B6,1729686585579,"[1, 2, 3, 4, 5]","[57.44, nan, 44.49, 27.0, 37.9]","(4.189, 32.995999999999995, 3.348)"
A13B6,1729686586075,"[1, 2, 3, 4, 5]","[57.44, nan, 44.49, 27.0, 37.9]","(4.189, 32.995999999999995, 3.348)"
A13B6,1729686586571,"[1, 2, 3, 4, 5]","[57.44, nan, 44.42, 27.0, 37.9]","(4.189, 32.995999999999995, 3.348)"
A13B6,1729686587068,"[1, 2, 3, 4, 5]","[57.51, nan, 44.42, 27.0, 37.83]","(4.189, 32.995999999999995, 3.348)"
A13B6,1729686587564,"[1, 2, 3, 4, 5]","[57.51, nan, 44.49, 27.07, 37.83]","(4.189, 32.995999999999995, 3.348)"
A13B6,1729686588059,"[1, 2, 3, 4, 5]","[57.51, nan, 44.56, 29.71, 37.83]","(4.189, 32.995999999999995, 3.348)"
A13B6,1729686588539,"[1, 2, 3, 4, 5]","[57.51, nan, 44.49, 23.56, nan]","(4.189, 32.995999999999995, 3.348)"
A13B6,1729686589132,"[1, 2, 3, 4, 5]","[54.73, 37.9, 44.64, 23.71, nan]","(4.189, 32.995999999999995, 3.348)"
A13B4,1729687394746,"[1, 2, 3, 4, 5]","[50.27, 35.19, 32.27, 18.58, 15.95]","(-1.7810000000000001, 33.013000000000005, 3.353)"
A13B4,1729687395289,"[1, 2, 3, 4, 5]","[50.2, nan, 31.68, 16.39, 26.27]","(-1.7810000000000001, 33.013000000000005, 3.353)"
A13B4,1729687395834,"[1, 2, 3, 4, 5]","[54.22, nan, 31.83, 19.17, 33.73]","(-1.7810000000000001, 33.013000000000005, 3.353)"
A13B4,1729687396378,"[1, 2, 3, 4, 5]","[54.59, nan, 31.9, 19.24, 33.95]","(-1.7810000000000001, 33.013000000000005, 3.353)"
A13B4,1729687396922,"[1, 2, 3, 4, 5]","[50.56, nan, 31.9, 18.07, 33.95]","(-1.7810000000000001, 33.013000000000005, 3.353)"
A13B4,1729687397386,"[1, 2, 3, 4, 5]","[44.78, nan, 31.83, nan, 33.8]","(-1.7810000000000001, 33.013000000000005, 3.353)"
A13B4,1729687397850,"[1, 2, 3, 4, 5]","[44.78, nan, 31.68, nan, 33.73]","(-1.7810000000000001, 33.013000000000005, 3.353)"
A13B4,1729687398490,"[1, 2, 3, 4, 5]","[44.78, 35.12, 31.68, 25.24, 15.88]","(-1.7810000000000001, 33.013000000000005, 3.353)"
A13B4,1729687399033,"[1, 2, 3, 4, 5]","[50.42, nan, 32.34, 15.66, 15.88]","(-1.7810000000000001, 33.013000000000005, 3.353)"
A13B4,1729687399498,"[1, 2, 3, 4, 5]","[54.37, nan, 32.12, nan, 15.95]","(-1.7810000000000001, 33.013000000000005, 3.353)"
A13B4,1729687399962,"[1, 2, 3, 4, 5]","[50.27, nan, 32.05, nan, 14.27]","(-1.7810000000000001, 33.013000000000005, 3.353)"
A13B4,1729687400506,"[1, 2, 3, 4, 5]","[50.34, nan, 33.0, 18.22, 14.05]","(-1.7810000000000001, 33.013000000000005, 3.353)"
A13B4,1729687401130,"[1, 2, 3, 4, 5]","[nan, 32.19, 31.9, 18.44, 16.09]","(-1.7810000000000001, 33.013000000000005, 3.353)"
A13B4,1729687401691,"[1, 2, 3, 4, 5]","[54.51, 31.54, 31.83, 17.78, nan]","(-1.7810000000000001, 33.013000000000005, 3.353)"
A13B4,1729687402329,"[1, 2, 3, 4, 5]","[50.49, 35.05, 32.49, 15.66, 16.09]","(-1.7810000000000001, 33.013000000000005, 3.353)"
A13B4,1729687402778,"[1, 2, 3, 4, 5]","[50.56, nan, nan, nan, 16.09]","(-1.7810000000000001, 33.013000000000005, 3.353)"
A13B4,1729687403242,"[1, 2, 3, 4, 5]","[50.49, nan, 31.97, nan, 16.17]","(-1.7810000000000001, 33.013000000000005, 3.353)"
A13B4,1729687403786,"[1, 2, 3, 4, 5]","[50.49, nan, 31.97, 15.73, 16.17]","(-1.7810000000000001, 33.013000000000005, 3.353)"
A13B4,1729687404330,"[1, 2, 3, 4, 5]","[50.42, nan, 31.97, 22.75, 16.09]","(-1.7810000000000001, 33.013000000000005, 3.353)"
A13B4,1729687404794,"[1, 2, 3, 4, 5]","[50.42, nan, 32.05, nan, 13.97]","(-1.7810000000000001, 33.013000000000005, 3.353)"
A13B4,1729687405259,"[1, 2, 3, 4, 5]","[50.42, nan, 32.05, 22.75, nan]","(-1.7810000000000001, 33.013000000000005, 3.353)"
A13B4,1729687405898,"[1, 2, 3, 4, 5]","[50.49, 35.27, 32.12, 22.75, 13.97]","(-1.7810000000000001, 33.013000000000005, 3.353)"
A13B4,1729687406361,"[1, 2, 3, 4, 5]","[50.42, nan, 32.05, nan, 13.97]","(-1.7810000000000001, 33.013000000000005, 3.353)"
A13B4,1729687406906,"[1, 2, 3, 4, 5]","[50.42, nan, 32.05, 22.68, 16.17]","(-1.7810000000000001, 33.013000000000005, 3.353)"
A13B4,1729687407369,"[1, 2, 3, 4, 5]","[50.49, nan, 31.97, 22.61, nan]","(-1.7810000000000001, 33.013000000000005, 3.353)"
A13B4,1729687408010,"[1, 2, 3, 4, 5]","[50.42, 35.19, 32.05, 25.17, 16.09]","(-1.7810000000000001, 33.013000000000005, 3.353)"
A13B4,1729687408473,"[1, 2, 3, 4, 5]","[50.42, nan, 31.97, nan, 16.09]","(-1.7810000000000001, 33.013000000000005, 3.353)"
A13B4,1729687409017,"[1, 2, 3, 4, 5]","[50.42, nan, 31.9, 18.88, 16.17]","(-1.7810000000000001, 33.013000000000005, 3.353)"
A13B4,1729687409561,"[1, 2, 3, 4, 5]","[50.34, nan, 31.97, 22.83, 13.9]","(-1.7810000000000001, 33.013000000000005, 3.353)"
