Unix_Timestamp,Messung,AP1,AP2,AP3,AP4,AP5,AP6
1729692217355,24,25.23,7.093,23.429,14.085,11.253,21.691
1729692218148,24,25.195,6.925,22.898,14.07,11.21,21.851
1729692218914,24,25.207,6.957,22.265,13.98,11.089,21.753
1729692219674,24,25.335,7.007,22.335,14.187,11.187,21.722
1729692220442,24,25.132,6.835,22.628,14.105,11.16,21.664
1729692221198,24,25.382,7.144,22.164,14.316,11.261,21.738
1729692221960,24,25.199,7.171,22.781,14.109,11.066,21.691
1729692222704,24,25.367,6.769,22.855,14.07,inf,21.675
1729692223459,24,25.476,7.042,22.261,14.031,11.16,21.656
1729692224214,24,25.148,6.921,22.445,14.039,11.167,21.679
1729692224980,24,25.398,6.89,21.992,14.058,11.292,21.671
1729692225750,24,25.171,6.875,22.21,14.062,11.023,21.726
1729692226512,24,25.343,6.558,22.472,14.058,11.226,21.847
1729692227268,24,25.316,6.722,22.71,14.375,11.25,21.636
1729692228025,24,25.464,7.0,22.394,14.054,11.183,21.746
1729692228784,24,25.265,6.621,22.863,14.039,11.167,21.722
1729692229541,24,25.265,7.042,22.527,14.32,11.062,21.679
1729692230306,24,25.582,7.093,22.667,14.167,12.535,21.718
1729692231067,24,25.222,7.015,23.242,14.23,11.71,21.675
1729692231824,24,26.312,6.988,17.589,13.902,11.089,21.8
1729692232580,24,25.433,6.894,25.515,14.054,inf,21.585
1729692233334,24,25.113,6.968,27.511,14.183,11.64,20.835
1729692234082,24,26.296,7.437,11.699,14.234,12.062,20.722
1729692271911,25,22.691,10.804,23.207,22.113,15.097,27.453
1729692272670,25,22.746,15.554,16.871,17.203,14.89,26.714
1729692273427,25,22.617,10.96,17.882,17.089,14.882,26.746
1729692274180,25,22.562,9.277,17.968,17.171,15.14,27.003
1729692274946,25,21.972,11.714,17.808,17.457,15.121,26.722
1729692275706,25,21.796,16.996,18.296,17.167,15.085,26.796
1729692276467,25,21.835,16.785,18.589,17.332,inf,26.683
1729692277229,25,22.105,12.066,18.535,17.371,15.179,26.773
1729692278034,25,22.238,12.132,18.613,17.343,15.085,26.632
1729692278807,25,22.199,12.316,17.843,17.23,15.023,26.632
1729692279576,25,22.042,20.734,18.761,17.39,15.078,26.613
1729692280342,25,22.078,12.417,18.488,17.367,15.234,26.605
1729692281121,25,22.148,20.671,18.363,17.406,15.351,26.609
1729692281876,25,22.175,11.507,18.066,17.437,15.261,26.652
1729692282641,25,21.894,15.898,18.386,17.343,15.351,26.55
1729692283395,25,21.371,10.882,17.996,17.335,15.113,27.125
